序號,測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s),降水量(mm),日照時數(小時)
1,嘉義,2017/01/31,23:01:00,"1,015.9",18.1,76,北北西,1.3,0,-
2,嘉義,2017/01/31,22:01:00,"1,016",18.3,74,北北西,1.6,0,-
3,嘉義,2017/01/31,21:01:00,"1,016.1",18.5,73,北北西,1.4,0,-
4,嘉義,2017/01/31,20:01:00,"1,015.8",18.9,72,北北西,1.2,0,-
5,嘉義,2017/01/31,19:01:00,"1,015.3",19.5,69,北北西,1,0,0
6,嘉義,2017/01/31,18:01:00,"1,014.6",19.7,68,北,2.6,0,0
7,嘉義,2017/01/31,17:01:00,"1,014.1",20.1,67,北,2.9,0,0
8,嘉義,2017/01/31,16:01:00,"1,013.7",20.8,65,北,2.9,0,0
9,嘉義,2017/01/31,15:01:00,"1,013.4",21.8,64,北北西,2.8,0,0
10,嘉義,2017/01/31,14:01:00,"1,013.4",22.6,61,西北,2.7,0,0.3
11,嘉義,2017/01/31,13:01:00,"1,014",22.3,61,北北西,1.2,0,0.3
12,嘉義,2017/01/31,12:01:00,"1,015",21.2,62,西北,1.2,0,0.8
13,嘉義,2017/01/31,11:01:00,"1,016.1",21,63,北,0.8,0,0.7
14,嘉義,2017/01/31,10:01:00,"1,016.7",18.4,67,北,2,0,0.6
15,嘉義,2017/01/31,09:01:00,"1,016.7",17.2,70,北,3.7,0,0.6
16,嘉義,2017/01/31,08:01:00,"1,016.2",15.6,76,北,3.4,0,0.1
17,嘉義,2017/01/31,07:01:00,"1,015.7",14.8,78,北,2.2,0,0
18,嘉義,2017/01/31,06:01:00,"1,015.1",14.8,79,北,2.4,0,0
19,嘉義,2017/01/31,05:01:00,"1,014.6",14.7,78,北,1.9,0,-
20,嘉義,2017/01/31,04:01:00,"1,014.4",14.9,79,北,1.9,0,-
21,嘉義,2017/01/31,03:01:00,"1,014.2",15,78,北,2.1,0,-
22,嘉義,2017/01/31,02:01:00,"1,014.4",15.2,77,北,2,0,-
23,嘉義,2017/01/31,01:01:00,"1,014.7",16,75,北,2.5,0,-
24,嘉義,2017/01/31,00:01:00,"1,016.1",17.9,77,北北西,1.5,0,-
25,嘉義,2017/01/30,23:01:00,"1,015.2",16.5,74,北,2.4,0,-
26,嘉義,2017/01/30,22:01:00,"1,015",16.8,74,北,2.8,0,-
27,嘉義,2017/01/30,21:01:00,"1,015.1",17.3,73,北,2.5,0,-
28,嘉義,2017/01/30,20:01:00,"1,015",17.8,72,北,2.5,0,-
29,嘉義,2017/01/30,19:01:00,"1,014.2",18.6,71,北,2.5,0,0
30,嘉義,2017/01/30,18:01:00,"1,013.7",19.8,68,北北西,2.3,0,0
31,嘉義,2017/01/30,17:01:00,"1,013.3",21.4,64,北,3.2,0,0.5
32,嘉義,2017/01/30,16:01:00,"1,012.6",22.4,64,北北西,4.4,0,0.9
33,嘉義,2017/01/30,15:01:00,"1,011.7",24.6,63,西北西,2.4,0,1
34,嘉義,2017/01/30,14:01:00,"1,011.7",26.5,61,西北,2.6,0,1
35,嘉義,2017/01/30,13:01:00,"1,012.1",28.3,52,北北西,2.5,0,1
36,嘉義,2017/01/30,12:01:00,"1,013.1",27.3,53,北北西,2.4,0,1
37,嘉義,2017/01/30,11:01:00,"1,014.1",26,56,北北西,2.8,0,0.9
38,嘉義,2017/01/30,10:01:00,"1,015",24.7,60,北北東,1.1,0,0.9
39,嘉義,2017/01/30,09:01:00,"1,015",22,71,東北,0.9,0,0.8
40,嘉義,2017/01/30,08:01:00,"1,014.7",19.5,82,東,1.1,0,0.1
41,嘉義,2017/01/30,07:01:00,"1,014.4",18.6,84,靜風,0,0,0
42,嘉義,2017/01/30,06:01:00,"1,013.8",18.5,84,北北東,0.3,0,0
43,嘉義,2017/01/30,05:01:00,"1,013.2",18.4,84,西,1.9,0,-
44,嘉義,2017/01/30,04:01:00,"1,012.7",18,87,東北,2,0,-
45,嘉義,2017/01/30,03:01:00,"1,013.1",17.7,86,北北東,1.4,0,-
46,嘉義,2017/01/30,02:01:00,"1,013.5",17.6,86,東北東,0.9,0,-
47,嘉義,2017/01/30,01:01:00,"1,014.1",18.3,85,東北東,1.8,0,-
48,嘉義,2017/01/30,00:01:00,"1,015",16.1,75,北,2.1,0,-
49,嘉義,2017/01/29,23:01:00,"1,014.3",19,82,北北西,1.4,0,-
50,嘉義,2017/01/29,22:01:00,"1,014.3",19.6,79,北,1.6,0,-
51,嘉義,2017/01/29,21:01:00,"1,014.2",19.9,76,北,2.2,0,-
52,嘉義,2017/01/29,20:01:00,"1,014.2",20.5,74,北,1.9,0,-
53,嘉義,2017/01/29,19:01:00,"1,013.9",20.9,71,北,1.3,0,0
54,嘉義,2017/01/29,18:01:00,"1,013.1",21.8,67,北北西,1.8,0,0
55,嘉義,2017/01/29,17:01:00,"1,012.2",24.1,62,西北,2.8,0,0.4
56,嘉義,2017/01/29,16:01:00,"1,011.5",27.4,40,北,3,0,0.7
57,嘉義,2017/01/29,15:01:00,"1,011.5",28.2,41,北,2.7,0,1
58,嘉義,2017/01/29,14:01:00,"1,011.8",27.6,42,北,2.6,0,1
59,嘉義,2017/01/29,13:01:00,"1,012.9",26.8,48,北,2.5,0,0.9
60,嘉義,2017/01/29,12:01:00,"1,014.1",24.8,59,北北西,2.3,0,1
61,嘉義,2017/01/29,11:01:00,"1,015.3",22.3,69,北北西,0.8,0,0.8
62,嘉義,2017/01/29,10:01:00,"1,016.1",18.8,93,北,1.1,0,0.3
63,嘉義,2017/01/29,09:01:00,"1,015.9",17.4,98,北北東,1.9,0,0
64,嘉義,2017/01/29,08:01:00,"1,015.3",16.7,96,北北東,1.6,0,0
65,嘉義,2017/01/29,07:01:00,"1,014.6",16.2,95,東北,0.3,0,0
66,嘉義,2017/01/29,06:01:00,"1,014.1",16.3,96,靜風,0,0,0
67,嘉義,2017/01/29,05:01:00,"1,013.4",16,94,靜風,0,0,-
68,嘉義,2017/01/29,04:01:00,"1,013.1",15.9,93,東北,1.5,0,-
69,嘉義,2017/01/29,03:01:00,"1,013.4",15.6,89,東北東,0.9,0,-
